UUID,Display Name,Match Result Key,disp,targetMainNaics,Categories,Al Lna Ics,Industries,Ma Inna Ics,Naic Sse Ctor,Main City,Pi I,Displayname2,Pi I2,Display Nam E3,Pi I3,Main Address,It Spend Industry I Dc,Emails
1acbff63-1e86-4dde-9c46-97218f94993f,Robert Franzoy,;ROBERT FRANZOY;;;SALEM;NM;;;,precedence,11,3,111999;48412;11112,2,111999,Agriculture,Salem,TRUE,Marty Franzoy Farms,partial,,,,Process: Consumer products,
1b17277a-bd56-4bc1-9a87-914836ae2160,Domingos Ribeiro,;DOMINGOS RIBEIRO;;;Chowchilla;CA;;;,,11,2,11112;11212,2,11212,Agriculture,Chowchilla,TRUE,,,,,,Resource Industries,
1b264a10-4958-4c52-8fcf-34915f0617ef,Manuel L Silveira,;MANUEL SILVEIRA;;;ORLAND;CA;;;,,11,2,11112;11212,2,11112,Agriculture,Orland,TRUE,Manuel Silveira,TRUE,,,,Resource Industries,
1b5a573f-ab59-416f-b1cd-45a1f5cc73c8,Keller Farms,;PAUL KELLER;;;MORIARTY;NM;;;,precedence,11,2,111999;48412,2,111999,Agriculture,Moriarty,FALSE,Paul Keller,TRUE,,,,Process: Consumer products,
1b638daf-7f43-412b-b7fb-670d35983703,Mcknight Farms LLC,;MARTIN M BOGLE;;;DEXTER;NM;;;,precedence,11,2,48412;111999,2,111999,Agriculture,Dexter,FALSE,Martin M Bogle,TRUE,,,,Process: Consumer products,
1bfacf13-51cd-44a7-809d-e0c075e20ff7,Soco Enterprise INC,;SOCO ENTERPRISE;;;MINDEN;NV;;;,precedence,11,2,115310;488390,2,115310,Agriculture,Mammoth Lakes,FALSE,,,,,,Professional Services,
1c827b40-9e58-47f3-9d09-cc6b0bb8f90b,Casey Hoppin,;HOPPIN FAMILY FARMS;;;YUBA CITY;CA;;;,,11,5,112112;112519;11112;111160;111999,2,111160,Agriculture,Yuba City,TRUE,Charles Hoppin,TRUE,Hoppin Family Farms,FALSE,,Resource Industries,
1cf36316-a3c5-454e-a2bf-19b2c9ef0bdd,"Huang, Juan Liang",";HUANG, JUAN LIANG,HUANG;;;POMPEY;NY;;;",,11,2,11212;111999,2,111999,Agriculture,Pompey,TRUE,,,,,,Process: Consumer products,
1d60a455-c0a4-4746-92c8-5775d1743626,Grimmius Cattle Company,;GRIMMIUS CATTLE COMPANY;;;Hanford;CA;;;,precedence,11,2,112111;11112,2,112111,Agriculture,Hanford,FALSE,"Grimmius Cattle Company, INC.",FALSE,,,,Resource Industries,
1d641055-4528-4056-9a0a-0789943f61d2,3-W Cattle CO,;3-W CATTLE CO;;;BROADVIEW;NM;;;,precedence,11,2,11211;48412,2,11211,Agriculture,Broadview,FALSE,,,,,,Resource Industries,
1defa502-0997-4ac4-b46c-0b1b850a2139,Jason Barnard,;JASON BARNARD;;;RODEO;NM;;;,precedence,11,3,48412;111999;11112,2,111999,Agriculture,Rodeo,TRUE,Jason N Barnard,TRUE,Whitebarn Farms,FALSE,,Process: Consumer products,
08b21615-4aa5-4fdd-8f8a-80e1bc429550,William Paul Farmer,;WILLIAM PAUL FARMER;;;ORANGE PARK;FL;;;,precedence,11,2,541940;111999,2,111999,Agriculture,Orange Park,TRUE,,,,,,Process: Consumer products,
095b5327-2a8d-4372-897a-a99f2cf119c9,Lakeside AT Butterfly Hollow LLC,;THE TREE FARM AT BUTTERFLY HOLLOW;;;ALACHUA;FL;;;,precedence,11,2,111421;311515,2,111421,Agriculture,Gainesville,FALSE,THE Tree Farm AT Butterfly Hollow LLC,FALSE,,,,Resource Industries,
09914d24-691c-43cb-b324-ccdea93b3ca0,"B&D Dairy Farms, LTD",";B & D DAIRY,B&D DAIRY;;;GREENVILLE;FL;;;",precedence,11,2,111999;112111,2,112111,Agriculture,Greenville,FALSE,B & D Dairy,FALSE,,,,Resource Industries,
0aa75c6f-23e3-452c-b16c-66a2e9c9ce5d,Strait Ahead Farm & Construction LLC,;STRAIT AHEAD FARM & CONSTRUCTION;;;WESTVILLE;FL;;;,keyword,11,2,111999;238990,2,111999,Agriculture,Westville,FALSE,,,,,,Process: Consumer products,
0b1091c4-2d34-4091-adae-76a05d425058,M&S Fertilizer & Farm INC,";M&S FERTILIZER & FARM,;;;LAKE BUTLER;FL;;;",,11,3,111940;424910;111999,2,111999,Agriculture,Lake Butler,FALSE,"M&S Fertilizer & Farm, INC",FALSE,M&S Fertilizer And Farm INC,FALSE,,Process: Consumer products,
0b83b006-487e-4b83-bfa3-f8b86b72cac4,Cornerstone Solutions Group,";CORNERSTONE TREE FARM, INC;;;TAMPA;FL;;;",precedence,561,2,111421;561730,2,111421,Agriculture,Dade City,FALSE,"Cornerstone Solutions Group Ocala, INC",FALSE,"Cornerstone Solutions Group Orlando, INC.",FALSE,,Resource Industries,
004d6a75-4e9d-4134-88e6-67fb32c5d1bf,Murray Gruending,;MURRAY GRUENDING;;PO BOX 155;KINCAID;SK;S0H 2J0;CA;;,precedence,561,3,111199;561499,2,111199,Agriculture,Kincaid,FALSE,"Gruending, Murray",FALSE,,,,Resource Industries,
0052b333-6e75-49aa-b4b1-6cbc2be8318e,Newton Trucking INC,;NEWTON TRUCKING INC;;;HEREFORD;TX;;;,precedence,484,2,484220;115210,2,115210,Agriculture,Hereford,FALSE,,,,,,Professional Services,
0059043f-1024-4e5a-a165-c13350c37cb4,Bruce R Siltberg,;BRUCE R SILTBERG;;;DRESSER;WI;;;,precedence,11,2,112120;111120,2,111120,Agriculture,Dresser,FALSE,,,,,,Resource Industries,
005f137b-7192-4b8e-bb29-96963d806a0f,Gestion Polysilva INC,;GESTION POLYSILVA (1998).;;;SAINT GEORGES;QC;;;,alwayssecondary,11,4,113311;551113,2,113311,Agriculture,Saint-Georges,FALSE,Gestion Polysilva Inc.-,FALSE,Les Editions Polysilva inc.,FALSE,,Resource Industries,
005fc07a-f8cb-4024-b9db-8954a33a4e66,Croftburn Farm Meats LLC,;CROFTBURN FARM MEATS;;;CULPEPER;VA;;;,precedence,11,2,111999;453220,2,111999,Agriculture,Culpeper,FALSE,"Croftburn Farm Meats, LLC",FALSE,"Croftburn Farm, LLC",FALSE,,Process: Consumer products,
0060d7bc-e169-464c-aea9-cd6b56ca9559,Leon River Farms INC.,";LEON RIVER FARMS, INC.;;;Temple;TX;;;",precedence,11,2,112330;111999,2,111999,Agriculture,Temple,FALSE,"Leon River Farms, INC.",FALSE,Leon River Farms,partial,,Process: Consumer products,
00679ef7-6e77-458a-8e03-0e0924425b32,Beehive Homes Of Orem Iv,;Beehive Homes Of Orem Iv;;;Orem;UT;;;,precedence,62,2,112910;623312,2,112910,Agriculture,Orem,FALSE,,,,,,Resource Industries,
00694af9-91e8-4cf1-b12c-916e31a2bb33,Comisaria Municipal Del Plan DE Los Amates,;OFICIALIA NO 06 PLAN DE LOS AMATES;;;ACAPULCO DE JUAREZ;MX-GR;;;,precedence,51,5,519122;112511,2,112511,Agriculture,Acapulco de Juarez,partial,Comisaria Municipal Plan DE Los Amates,partial,Scpp Los Manglares DE Plan DE Los Amates,FALSE,,Resource Industries,
006d45e5-ff9f-49e7-a184-266476e29415,Algodonera DE Oasis Spr DE RI DE CV,;ALGODONERA DE OASIS SPR DE RI DE CV;;;OJINAGA;MX-CH;;;,precedence,11,3,313110;115112,2,115112,Agriculture,Ojinaga,partial,Algodonera Union Del Progreso Spr DE RL DE CV,FALSE,Algodonera LA Perla Spr DE RL DE CV,partial,,Professional Services,
00787595-be51-4bdc-a338-2129f77ea66b,Dixon Angus Farm,;DIXON ANGUS FARM;;;Lancaster;WI;;;,precedence,11,2,111999;112110,2,112110,Agriculture,Lancaster,partial,,,,,,Resource Industries,
007a4d37-5efb-4d7a-9c93-0dd25d96f909,Vancouver Shell Fish Tofino LTD,;VANCOUVER SHELL FISH LTD;;PO BOX 245;TOFINO;BC;V0R 2Z0;CA;;,precedence,53,3,532111;114111,2,114111,Agriculture,Tofino,FALSE,Vancouver Shell Fish LTD,FALSE,,,,Resource Industries,
007b276d-faa0-4cf5-89c7-16eb2122c4a8,Riven Rock Farm,;RIVEN ROCK FARM;;;MONTEREY;VA;;;,,11,2,423820;111999,2,111999,Agriculture,Monterey,partial,,,,,,Process: Consumer products,
0ea72ee4-e62c-4c23-bcdc-101cb8c4ddce,Hines Cattle Company LLC,;ROBERT HINES;;;HIGH SPRINGS;FL;;;,precedence,11,3,112130;111910;112110,2,112110,Agriculture,High Springs,FALSE,Robert Hines,TRUE,,,,Resource Industries,
0ec68550-b470-4010-9780-05467ff51cd2,"Indian River Fresh Veg, LLC",";INDIAN RIVER FRESH,;;;VERO BEACH;FL;;;",precedence,33,2,339990;111999,2,111999,Agriculture,Vero Beach,FALSE,"Indian River Fresh, INC",FALSE,Indian River Fresh Veg LLC,FALSE,,Process: Consumer products,
0eeb0be6-9a8e-4705-a68d-c26e8f75b3dc,Farm Bites And Juices LLC,;FARM BITES AND JUICES;;;MIAMI;FL;;;,precedence,11,2,311410;111999,2,111999,Agriculture,Miami,FALSE,Mimi's Vegan Bites & Juices INC.,FALSE,,,,Process: Consumer products,
1e5f6068-fa28-409d-8338-282e0c2cc07d,United States Forest Service - San Bernardino National Forest - Arrowhead Ranger Station,;UNITED STATES FOREST SERVICE - SAN BERNARDINO NATIONAL FOREST - ARROWHEAD RANGER STATION;;;SKYFOREST;CA;;;,tofix,62,2,621910;115310,2,115310,Agriculture,Skyforest,FALSE,,,,,,Professional Services,
2011223d-4b58-426f-8b97-1f8ae2789e48,Sheldon Wilson,;SHELDON WILSON;;;FOLSOM;NM;;;,,11,3,11112;1121;11199,2,11199,Agriculture,Folsom,TRUE,,,,,,Process: Consumer products,
2023e481-e5cc-430a-8faa-637b00293d79,"Jamestown Oyster Co., LLC",";JAMESTOWN OYSTER,;;;JAMESTOWN;RI;;;",precedence,7,2,112512;722410,2,112512,Agriculture,Jamestown,FALSE,"Jamestown Oyster Bar, Inc.",FALSE,,,,Resource Industries,
2192b8dc-d8b2-4d0b-80ee-146f11d408ba,Kit Carson Farms INC,;KIT CARSON FARMS;;;RINCON;NM;;;,precedence,11,2,111999;48412,2,111999,Agriculture,Rincon,FALSE,,,,,,Process: Consumer products,
22024462-8fdb-4f7b-9bb5-983233c5ff98,Ima Farms INC,;IMA FARMS;;;CLOVIS;NM;;;,precedence,11,2,48412;111999,2,111999,Agriculture,Clovis,FALSE,,,,,,Process: Consumer products,
2219a551-079d-4455-88f5-90666bd089bf,LJ Pacheco Trucking,;JOSEPH & LOUIS PACHECO;;;MORA;NM;;;,precedence,484,3,484220;48412;115310,2,115310,Agriculture,Mora,partial,L J Pacheco Trucking,FALSE,"Pacheco, Louis J",TRUE,,Professional Services,
222ceb19-c04a-4556-a369-5a6e86918931,Lyndaker Timothy,;LYNDAKER TIMOTHY;;;PINCKNEY;NY;;;,,11,3,111999;11119;11212,2,111999,Agriculture,Pinckney,TRUE,,,,,,Process: Consumer products,
225ace15-ca7a-4b67-a2f1-c218b7d8f206,"Starrh Family Farms, Lp",;STARRH FAMILY FARMS;;;SHAFTER;CA;;;,precedence,11,5,111335;111339;11112;111999;453998,2,111999,Agriculture,Shafter,FALSE,"Starrh Family Farms, LP",FALSE,Starrh Family Farms,FALSE,,Process: Consumer products,
239f3fcb-d52f-4279-aec8-a83d415a5549,United States Forest Service - North Yuba Ranger Station,;UNITED STATES FOREST SERVICE - NORTH YUBA RANGER STATION;;;CAMPTONVILLE;CA;;;,tofix,62,2,115310;621910,2,115310,Agriculture,Camptonville,partial,,,,,,Professional Services,
23ad8ff8-8031-415e-9cd4-142093ea0fef,Colin Chandler And Jim Chandler,;COLIN CHANDLER AND JIM CHANDLER;;;PORTALES;NM;;;,precedence,11,2,48412;111999,2,111999,Agriculture,Portales,partial,Colin Chandler,TRUE,Sun Ripe Farms,FALSE,,Process: Consumer products,
23e41a04-09e3-4e62-a173-ee3eb13e7bbf,Pinnacle Farms LLC,;PINNACLE FARMS;;;IRVINE;CA;;;,precedence,11,3,111999;56299;111334,2,111999,Agriculture,Irvine,FALSE,,,,,,Process: Consumer products,
242c654f-f87b-4d80-9666-789a97a36685,River Garden Farms CO,;RIVER GARDEN FARMS CO;;;KNIGHTS LANDING;CA;;;,precedence,11,3,115114;11112;111999,2,111999,Agriculture,Knights Landing,FALSE,River Garden Farms Company,FALSE,,,,Process: Consumer products,
2524d3e3-ce64-4202-a2bc-6d6ed5475d6d,David Dumars,;DAVID DUMARS;;;KNIGHTS LANDING;CA;;;,precedence,11,3,56299;111998;11194,2,111998,Agriculture,Knights Landing,TRUE,,,,,,Process: Consumer products,
25a3bbd3-d1a7-4a72-8bc5-b70b8773177f,Ribeiro Dairy Farm,;Ribeiro Dairy Farm;;;Tulare;CA;;;,precedence,11,2,111999;112120,2,111999,Agriculture,Tulare,FALSE,,,,,,Process: Consumer products,
25da8213-7e77-4ffb-b8ff-534c711853b9,"Fresh Leaf Farms, Llc",";FRESH LEAF FARMS,;;;SALINAS;CA;;;",precedence,11,5,31134;111219;311423;111999;111998,2,111999,Agriculture,Salinas,FALSE,Fresh Leaf Farms LLC,FALSE,,,,Process: Consumer products,
25f7b9c2-4789-46d7-9b0f-7ced2f67a8e9,Mary B Kalfsbeek,;MARY B KALFSBEEK;;;ARBUCKLE;CA;;;,precedence,11,3,11112;111160;56299,2,11112,Agriculture,Arbuckle,FALSE,Mary Kalfsbeek,FALSE,Knute Kalfsbeek,FALSE,,Resource Industries,
